sale_id,customer_id,product_id,product_name,category,price,quantity,sale_date,total_value,age,gender,region,segment,churn,tenure_months,last_purchase_date,feedback_text,sentiment,calculated_total,sentiment_score
S000040,CUST01345,P003,Office Chair,Furniture,8000,5,2023-12-31,40000,47,Male,West,Small Business,0,25,2023-07-12,Excellent customer service.,Positive,40000,1
S000041,CUST01664,P005,Printer,Electronics,15000,2,2021-03-22,30000,40,Female,West,Small Business,0,6,2023-03-29,"Delivery was late, not happy.",Positive,30000,1
S000042,CUST00266,P003,Office Chair,Furniture,8000,2,2022-06-15,16000,20,Male,East,Small Business,1,27,2023-08-21,"Great product, very satisfied.",Positive,16000,1
S000043,CUST01920,P006,Notebook,Office Supplies,100,4,2020-05-08,400,24,Female,East,Consumer,0,15,2023-09-07,"Terrible experience, will not buy again.",Negative,400,-1
S000044,CUST01297,P008,Headphones,Electronics,3000,3,2021-04-04,9000,19,Male,North,Consumer,0,19,2023-04-21,"Met expectations, nothing special.",Neutral,9000,0
S000045,CUST01930,P001,Laptop,Electronics,70000,1,2020-09-28,70000,24,Female,South,Small Business,0,4,2023-03-21,Too expensive for the features offered.,Negative,70000,-1
S000046,CUST00986,P004,Desk,Furniture,12000,4,2020-02-28,48000,21,Male,North,Corporate,0,21,2023-03-02,Product quality could be better.,Neutral,48000,0
S000047,CUST01770,P009,Monitor,Electronics,12000,3,2021-04-09,36000,64,Male,West,Corporate,0,23,2023-06-05,"Met expectations, nothing special.",Neutral,36000,0
S000048,CUST00589,P008,Headphones,Electronics,3000,3,2023-02-15,9000,27,Male,East,Consumer,1,27,2023-04-29,"Great product, very satisfied.",Positive,9000,1
S000049,CUST01870,P009,Monitor,Electronics,12000,4,2023-01-09,48000,20,Female,South,Corporate,0,59,2023-05-05,"Delivery was late, not happy.",Positive,48000,1
S000050,CUST01726,P001,Laptop,Electronics,70000,1,2021-03-12,70000,52,Male,West,Corporate,1,9,2023-11-07,Excellent customer service.,Positive,70000,1
S000051,CUST01631,P010,Projector,Electronics,45000,1,2020-07-04,45000,28,Male,East,Small Business,1,23,2023-07-02,"Worth the price, happy with the purchase.",Positive,45000,1
S000052,CUST00988,P005,Printer,Electronics,15000,4,2020-11-12,60000,22,Female,South,Small Business,0,32,2023-05-24,"Worth the price, happy with the purchase.",Positive,60000,1
S000053,CUST01211,P010,Projector,Electronics,45000,1,2023-08-19,45000,44,Male,West,Consumer,0,10,2023-10-13,"Met expectations, nothing special.",Neutral,45000,0
S000054,CUST01090,P008,Headphones,Electronics,3000,3,2022-10-20,9000,47,Female,North,Corporate,0,31,2023-08-29,"Great product, very satisfied.",Positive,9000,1
S000055,CUST00927,P005,Printer,Electronics,15000,4,2020-10-05,60000,54,Female,East,Small Business,1,38,2023-05-11,Product quality could be better.,Neutral,60000,0
S000056,CUST00989,P005,Printer,Electronics,15000,5,2022-04-02,75000,51,Female,West,Corporate,0,3,2023-12-17,Excellent customer service.,Positive,75000,1
S000057,CUST00675,P009,Monitor,Electronics,12000,1,2023-01-07,12000,24,Male,South,Corporate,0,50,2023-07-20,Excellent customer service.,Positive,12000,1
S000058,CUST00131,P002,Smartphone,Electronics,25000,5,2021-09-17,125000,24,Female,North,Small Business,0,47,2023-04-11,Too expensive for the features offered.,Negative,125000,-1
S000059,CUST01019,P006,Notebook,Office Supplies,100,3,2021-02-01,300,44,Female,North,Corporate,0,46,2023-04-14,"Worth the price, happy with the purchase.",Positive,300,1
S000060,CUST01067,P008,Headphones,Electronics,3000,1,2020-04-11,3000,24,Female,West,Corporate,1,7,2023-01-21,"Great product, very satisfied.",Positive,3000,1
S000061,CUST00488,P008,Headphones,Electronics,3000,2,2021-11-11,6000,20,Male,West,Small Business,0,39,2023-10-07,Product quality could be better.,Neutral,6000,0
S000062,CUST01488,P003,Office Chair,Furniture,8000,2,2022-02-15,16000,38,Male,North,Consumer,0,1,2023-11-06,"Great product, very satisfied.",Positive,16000,1
S000063,CUST00476,P009,Monitor,Electronics,12000,4,2021-05-07,48000,26,Male,North,Small Business,0,39,2023-03-31,"Met expectations, nothing special.",Neutral,48000,0
S000064,CUST00785,P008,Headphones,Electronics,3000,1,2022-07-20,3000,23,Female,South,Corporate,0,41,2023-06-04,Product quality could be better.,Neutral,3000,0
S000065,CUST01899,P003,Office Chair,Furniture,8000,3,2020-09-10,24000,51,Male,East,Corporate,0,24,2023-05-15,"Great product, very satisfied.",Positive,24000,1
S000066,CUST00571,P002,Smartphone,Electronics,25000,4,2020-11-26,100000,25,Female,South,Corporate,0,24,2023-05-18,Excellent customer service.,Positive,100000,1
S000067,CUST01485,P010,Projector,Electronics,45000,5,2022-05-27,225000,43,Female,East,Consumer,0,35,2023-06-10,Too expensive for the features offered.,Negative,225000,-1
S000068,CUST01747,P004,Desk,Furniture,12000,3,2022-04-20,36000,51,Female,North,Small Business,1,39,2023-03-12,Excellent customer service.,Positive,36000,1
S000069,CUST00250,P007,Pen Pack,Office Supplies,50,4,2020-03-02,200,56,Male,South,Corporate,0,40,2023-11-09,"Great product, very satisfied.",Positive,200,1
S000070,CUST01299,P010,Projector,Electronics,45000,3,2022-05-16,135000,37,Female,North,Corporate,0,14,2023-08-18,"Worth the price, happy with the purchase.",Positive,135000,1
S000071,CUST01818,P005,Printer,Electronics,15000,1,2021-10-07,15000,31,Male,West,Small Business,0,20,2023-09-14,Too expensive for the features offered.,Negative,15000,-1
S000072,CUST00232,P007,Pen Pack,Office Supplies,50,5,2023-05-14,250,59,Male,East,Consumer,0,6,2023-08-14,Easy to use and reliable.,Neutral,250,0
S000073,CUST00230,P008,Headphones,Electronics,3000,4,2020-02-24,12000,61,Male,South,Small Business,0,24,2023-07-25,Too expensive for the features offered.,Negative,12000,-1
S000074,CUST01380,P009,Monitor,Electronics,12000,3,2023-04-21,36000,35,Male,North,Consumer,0,50,2023-09-07,Too expensive for the features offered.,Negative,36000,-1
S000075,CUST00415,P004,Desk,Furniture,12000,1,2023-05-13,12000,55,Male,West,Consumer,0,22,2023-04-22,Excellent customer service.,Positive,12000,1
S000076,CUST01642,P010,Projector,Electronics,45000,3,2021-05-02,135000,22,Male,East,Corporate,1,1,2023-06-06,"Delivery was late, not happy.",Positive,135000,1
S000077,CUST01091,P010,Projector,Electronics,45000,5,2020-02-13,225000,52,Female,South,Consumer,1,39,2023-02-09,"Met expectations, nothing special.",Neutral,225000,0
S000078,CUST01390,P005,Printer,Electronics,15000,1,2022-09-08,15000,42,Female,South,Corporate,0,22,2023-10-07,"Delivery was late, not happy.",Positive,15000,1
S000079,CUST01094,P006,Notebook,Office Supplies,100,3,2023-03-31,300,41,Female,East,Small Business,1,44,2023-01-26,Product quality could be better.,Neutral,300,0
S000080,CUST00028,P008,Headphones,Electronics,3000,2,2023-05-15,6000,63,Male,South,Small Business,0,50,2023-09-03,"Great product, very satisfied.",Positive,6000,1
S000081,CUST00766,P009,Monitor,Electronics,12000,1,2021-09-13,12000,20,Male,East,Corporate,1,43,2023-10-27,Excellent customer service.,Positive,12000,1
S000082,CUST01412,P004,Desk,Furniture,12000,5,2023-02-04,60000,18,Male,West,Corporate,1,36,2023-10-12,"Met expectations, nothing special.",Neutral,60000,0
S000083,CUST01178,P007,Pen Pack,Office Supplies,50,1,2023-08-26,50,38,Female,West,Consumer,0,1,2023-05-20,"Delivery was late, not happy.",Positive,50,1
S000084,CUST01531,P001,Laptop,Electronics,70000,4,2022-02-14,280000,60,Female,South,Consumer,0,4,2023-02-05,"Terrible experience, will not buy again.",Negative,280000,-1
S000085,CUST00563,P010,Projector,Electronics,45000,4,2022-06-29,180000,54,Male,East,Small Business,0,18,2023-07-14,"Worth the price, happy with the purchase.",Positive,180000,1
S000086,CUST01396,P004,Desk,Furniture,12000,3,2020-10-24,36000,47,Female,East,Consumer,1,36,2023-10-24,"Worth the price, happy with the purchase.",Positive,36000,1
S000087,CUST01792,P008,Headphones,Electronics,3000,2,2023-04-11,6000,29,Male,East,Consumer,0,21,2023-11-15,Highly recommend to others.,Positive,6000,1
S000088,CUST01127,P002,Smartphone,Electronics,25000,2,2023-02-24,50000,43,Female,South,Small Business,1,50,2023-01-02,"Met expectations, nothing special.",Neutral,50000,0
S000089,CUST01615,P002,Smartphone,Electronics,25000,1,2021-11-13,25000,39,Female,South,Corporate,1,7,2023-01-03,Product quality could be better.,Neutral,25000,0
S000090,CUST01865,P007,Pen Pack,Office Supplies,50,3,2022-01-31,150,64,Female,East,Consumer,0,35,2023-09-26,Highly recommend to others.,Positive,150,1
S000091,CUST01125,P008,Headphones,Electronics,3000,3,2020-08-10,9000,34,Female,South,Corporate,0,19,2023-07-09,Excellent customer service.,Positive,9000,1
S000092,CUST01861,P003,Office Chair,Furniture,8000,3,2020-10-07,24000,54,Female,North,Small Business,0,25,2023-05-10,Excellent customer service.,Positive,24000,1
S000093,CUST00082,P008,Headphones,Electronics,3000,4,2022-07-17,12000,56,Female,West,Consumer,0,20,2023-06-17,Too expensive for the features offered.,Negative,12000,-1
S000094,CUST00178,P007,Pen Pack,Office Supplies,50,2,2020-08-30,100,51,Female,East,Consumer,0,41,2023-08-29,Too expensive for the features offered.,Negative,100,-1
S000095,CUST00682,P003,Office Chair,Furniture,8000,5,2022-08-23,40000,46,Male,East,Corporate,0,53,2023-04-09,"Delivery was late, not happy.",Positive,40000,1
S000096,CUST01581,P007,Pen Pack,Office Supplies,50,1,2020-10-16,50,54,Male,North,Small Business,0,14,2023-09-22,Easy to use and reliable.,Neutral,50,0
S000097,CUST00060,P007,Pen Pack,Office Supplies,50,5,2023-02-01,250,61,Male,North,Corporate,0,52,2023-03-11,"Great product, very satisfied.",Positive,250,1
S000098,CUST01682,P006,Notebook,Office Supplies,100,3,2020-02-20,300,48,Male,East,Small Business,0,33,2023-05-01,"Great product, very satisfied.",Positive,300,1
S000099,CUST01920,P003,Office Chair,Furniture,8000,4,2021-06-10,32000,24,Female,East,Consumer,0,15,2023-09-07,Too expensive for the features offered.,Negative,32000,-1
S000100,CUST01965,P009,Monitor,Electronics,12000,5,2021-04-22,60000,22,Female,South,Consumer,0,23,2023-09-15,Product quality could be better.,Neutral,60000,0
S000101,CUST00138,P004,Desk,Furniture,12000,4,2023-01-03,48000,36,Male,East,Consumer,0,30,2023-12-20,"Delivery was late, not happy.",Positive,48000,1
S000102,CUST01720,P004,Desk,Furniture,12000,2,2022-11-21,24000,22,Male,North,Consumer,0,30,2023-10-28,Product quality could be better.,Neutral,24000,0
S000103,CUST01024,P001,Laptop,Electronics,70000,4,2022-05-21,280000,34,Female,East,Corporate,0,23,2023-10-28,Highly recommend to others.,Positive,280000,1
S000104,CUST01712,P004,Desk,Furniture,12000,3,2023-05-11,36000,33,Male,West,Small Business,0,57,2023-06-22,Easy to use and reliable.,Neutral,36000,0
S000105,CUST00067,P005,Printer,Electronics,15000,4,2022-12-09,60000,44,Male,West,Consumer,0,2,2023-01-02,Highly recommend to others.,Positive,60000,1
S000106,CUST00111,P001,Laptop,Electronics,70000,4,2023-05-20,280000,28,Female,South,Small Business,1,12,2023-12-08,Too expensive for the features offered.,Negative,280000,-1
S000107,CUST01790,P002,Smartphone,Electronics,25000,3,2023-04-15,75000,20,Male,North,Corporate,0,55,2023-06-24,Highly recommend to others.,Positive,75000,1
S000108,CUST00120,P004,Desk,Furniture,12000,1,2023-10-04,12000,44,Female,West,Consumer,0,12,2023-07-14,Too expensive for the features offered.,Negative,12000,-1
S000109,CUST01846,P004,Desk,Furniture,12000,5,2021-05-31,60000,52,Female,East,Consumer,0,14,2023-04-12,"Worth the price, happy with the purchase.",Positive,60000,1
S000110,CUST01962,P008,Headphones,Electronics,3000,4,2022-04-12,12000,59,Male,East,Corporate,0,2,2023-09-13,"Worth the price, happy with the purchase.",Positive,12000,1
S000111,CUST01123,P006,Notebook,Office Supplies,100,4,2022-03-18,400,61,Female,West,Corporate,0,1,2023-04-14,"Met expectations, nothing special.",Neutral,400,0
S000112,CUST01140,P002,Smartphone,Electronics,25000,3,2023-12-25,75000,60,Female,East,Small Business,0,19,2023-09-24,Highly recommend to others.,Positive,75000,1
S000113,CUST00668,P007,Pen Pack,Office Supplies,50,5,2020-04-05,250,40,Male,East,Corporate,0,5,2023-06-28,Highly recommend to others.,Positive,250,1
S000114,CUST01671,P006,Notebook,Office Supplies,100,1,2020-12-17,100,36,Female,West,Corporate,0,23,2023-02-22,Easy to use and reliable.,Neutral,100,0
S000115,CUST01428,P005,Printer,Electronics,15000,5,2020-08-20,75000,22,Male,East,Consumer,0,55,2023-11-23,"Delivery was late, not happy.",Positive,75000,1
S000116,CUST00763,P003,Office Chair,Furniture,8000,4,2023-04-17,32000,40,Female,South,Small Business,0,56,2023-06-12,Product quality could be better.,Neutral,32000,0
S000117,CUST01215,P003,Office Chair,Furniture,8000,5,2021-01-10,40000,38,Female,South,Consumer,0,39,2023-09-08,Highly recommend to others.,Positive,40000,1
S000118,CUST01398,P006,Notebook,Office Supplies,100,5,2020-02-04,500,45,Female,North,Corporate,0,34,2023-08-23,"Great product, very satisfied.",Positive,500,1
S000119,CUST01993,P009,Monitor,Electronics,12000,2,2021-04-10,24000,61,Female,West,Corporate,0,34,2023-10-24,"Met expectations, nothing special.",Neutral,24000,0
S000120,CUST01510,P008,Headphones,Electronics,3000,4,2022-01-20,12000,52,Male,West,Consumer,0,17,2023-06-15,"Delivery was late, not happy.",Positive,12000,1
S000121,CUST01074,P004,Desk,Furniture,12000,5,2023-09-14,60000,60,Female,East,Consumer,0,22,2023-12-27,Easy to use and reliable.,Neutral,60000,0
S000122,CUST00018,P010,Projector,Electronics,45000,5,2020-05-17,225000,57,Female,North,Consumer,0,7,2023-10-24,Excellent customer service.,Positive,225000,1
S000123,CUST01582,P004,Desk,Furniture,12000,1,2021-11-29,12000,61,Female,South,Consumer,0,33,2023-08-07,Product quality could be better.,Neutral,12000,0
S000124,CUST01447,P009,Monitor,Electronics,12000,1,2020-04-12,12000,42,Male,East,Small Business,1,41,2023-04-26,"Met expectations, nothing special.",Neutral,12000,0
S000125,CUST00780,P004,Desk,Furniture,12000,1,2022-06-04,12000,36,Male,West,Small Business,0,32,2023-11-20,Too expensive for the features offered.,Negative,12000,-1
S000126,CUST00276,P004,Desk,Furniture,12000,4,2023-02-19,48000,27,Male,North,Small Business,0,12,2023-07-01,"Worth the price, happy with the purchase.",Positive,48000,1
S000127,CUST01341,P005,Printer,Electronics,15000,1,2021-03-19,15000,55,Male,West,Corporate,0,23,2023-07-08,Highly recommend to others.,Positive,15000,1
S000128,CUST01160,P004,Desk,Furniture,12000,2,2023-09-01,24000,61,Male,South,Consumer,1,1,2023-09-07,Product quality could be better.,Neutral,24000,0
S000129,CUST00535,P008,Headphones,Electronics,3000,3,2022-07-14,9000,22,Female,West,Consumer,1,59,2023-01-12,Easy to use and reliable.,Neutral,9000,0
S000130,CUST00071,P006,Notebook,Office Supplies,100,3,2020-01-06,300,39,Female,North,Corporate,0,39,2023-02-04,Too expensive for the features offered.,Negative,300,-1
S000131,CUST01642,P010,Projector,Electronics,45000,5,2022-12-03,225000,22,Male,East,Corporate,1,1,2023-06-06,"Worth the price, happy with the purchase.",Positive,225000,1
S000132,CUST00028,P001,Laptop,Electronics,70000,5,2020-07-26,350000,63,Male,South,Small Business,0,50,2023-09-03,Too expensive for the features offered.,Negative,350000,-1
S000133,CUST00751,P003,Office Chair,Furniture,8000,1,2021-03-29,8000,22,Male,South,Small Business,0,2,2023-08-09,Excellent customer service.,Positive,8000,1
S000134,CUST01028,P007,Pen Pack,Office Supplies,50,1,2022-04-28,50,35,Male,East,Consumer,1,5,2023-12-31,Product quality could be better.,Neutral,50,0
S000135,CUST01747,P003,Office Chair,Furniture,8000,1,2020-11-14,8000,51,Female,North,Small Business,1,39,2023-03-12,"Delivery was late, not happy.",Positive,8000,1
S000136,CUST00051,P009,Monitor,Electronics,12000,3,2022-11-03,36000,64,Male,South,Small Business,0,34,2023-12-01,Highly recommend to others.,Positive,36000,1
S000137,CUST00048,P010,Projector,Electronics,45000,3,2023-04-25,135000,45,Female,South,Corporate,0,36,2023-06-03,Product quality could be better.,Neutral,135000,0
S000138,CUST01671,P004,Desk,Furniture,12000,1,2021-04-10,12000,36,Female,West,Corporate,0,23,2023-02-22,"Terrible experience, will not buy again.",Negative,12000,-1
S000139,CUST00004,P009,Monitor,Electronics,12000,4,2022-05-13,48000,29,Male,East,Consumer,0,3,2023-11-28,Product quality could be better.,Neutral,48000,0
S000140,CUST01867,P008,Headphones,Electronics,3000,2,2021-12-01,6000,31,Female,East,Consumer,0,32,2023-02-20,Easy to use and reliable.,Neutral,6000,0
S000141,CUST00462,P008,Headphones,Electronics,3000,2,2020-01-06,6000,50,Female,North,Consumer,0,9,2023-10-18,"Worth the price, happy with the purchase.",Positive,6000,1
S000142,CUST00202,P009,Monitor,Electronics,12000,4,2021-04-27,48000,27,Female,East,Corporate,0,2,2023-10-19,Product quality could be better.,Neutral,48000,0
S000143,CUST00547,P009,Monitor,Electronics,12000,4,2023-12-07,48000,58,Female,West,Corporate,0,43,2023-12-31,"Worth the price, happy with the purchase.",Positive,48000,1
S000144,CUST01887,P007,Pen Pack,Office Supplies,50,3,2021-05-09,150,31,Male,West,Small Business,1,10,2023-04-04,"Met expectations, nothing special.",Neutral,150,0
S000145,CUST01615,P008,Headphones,Electronics,3000,3,2023-03-12,9000,39,Female,South,Corporate,1,7,2023-01-03,"Met expectations, nothing special.",Neutral,9000,0
S000146,CUST00815,P008,Headphones,Electronics,3000,2,2020-08-21,6000,41,Female,North,Corporate,0,29,2023-12-20,"Delivery was late, not happy.",Positive,6000,1
S000147,CUST01181,P001,Laptop,Electronics,70000,1,2023-04-04,70000,45,Male,North,Consumer,0,56,2023-12-06,Easy to use and reliable.,Neutral,70000,0
S000148,CUST00110,P010,Projector,Electronics,45000,3,2022-04-10,135000,40,Female,South,Consumer,0,57,2023-10-01,"Delivery was late, not happy.",Positive,135000,1
S000149,CUST01430,P005,Printer,Electronics,15000,1,2020-07-08,15000,45,Female,South,Consumer,0,44,2023-08-06,"Met expectations, nothing special.",Neutral,15000,0
S000150,CUST00008,P002,Smartphone,Electronics,25000,4,2020-09-04,100000,28,Female,East,Consumer,1,22,2023-11-16,Easy to use and reliable.,Neutral,100000,0
S000151,CUST01838,P002,Smartphone,Electronics,25000,2,2022-03-26,50000,27,Male,North,Corporate,0,59,2023-07-29,Product quality could be better.,Neutral,50000,0
S000152,CUST01091,P007,Pen Pack,Office Supplies,50,4,2020-05-27,200,52,Female,South,Consumer,1,39,2023-02-09,Excellent customer service.,Positive,200,1
S000153,CUST00538,P001,Laptop,Electronics,70000,5,2023-05-26,350000,60,Female,West,Consumer,0,11,2023-08-29,"Delivery was late, not happy.",Positive,350000,1
S000154,CUST01712,P008,Headphones,Electronics,3000,5,2022-03-01,15000,33,Male,West,Small Business,0,57,2023-06-22,"Delivery was late, not happy.",Positive,15000,1
S000155,CUST01595,P007,Pen Pack,Office Supplies,50,2,2020-01-08,100,30,Female,West,Corporate,1,54,2023-08-18,"Great product, very satisfied.",Positive,100,1
S000156,CUST00361,P010,Projector,Electronics,45000,2,2022-10-28,90000,59,Female,West,Corporate,0,11,2023-09-20,Too expensive for the features offered.,Negative,90000,-1
S000157,CUST01855,P009,Monitor,Electronics,12000,4,2022-11-29,48000,54,Female,North,Small Business,0,39,2023-04-07,"Terrible experience, will not buy again.",Negative,48000,-1
S000158,CUST00616,P004,Desk,Furniture,12000,4,2022-01-13,48000,48,Male,South,Small Business,0,47,2023-10-05,Product quality could be better.,Neutral,48000,0
S000159,CUST01973,P008,Headphones,Electronics,3000,5,2020-05-03,15000,50,Female,West,Consumer,0,25,2023-10-05,"Great product, very satisfied.",Positive,15000,1
S000160,CUST00471,P009,Monitor,Electronics,12000,5,2020-09-28,60000,42,Female,North,Consumer,0,26,2023-02-18,Highly recommend to others.,Positive,60000,1
S000161,CUST00184,P002,Smartphone,Electronics,25000,1,2023-01-12,25000,34,Female,East,Small Business,0,54,2023-02-12,Too expensive for the features offered.,Negative,25000,-1
S000162,CUST01272,P009,Monitor,Electronics,12000,2,2023-03-10,24000,56,Female,West,Corporate,0,41,2023-01-26,Product quality could be better.,Neutral,24000,0
S000163,CUST01976,P003,Office Chair,Furniture,8000,1,2020-09-28,8000,31,Male,South,Consumer,0,22,2023-06-14,Excellent customer service.,Positive,8000,1
S000164,CUST01919,P001,Laptop,Electronics,70000,5,2022-06-03,350000,57,Female,South,Small Business,0,12,2023-07-04,Product quality could be better.,Neutral,350000,0
S000165,CUST00698,P004,Desk,Furniture,12000,1,2020-03-29,12000,29,Male,West,Corporate,0,46,2023-01-06,"Worth the price, happy with the purchase.",Positive,12000,1
S000166,CUST01441,P008,Headphones,Electronics,3000,3,2020-08-27,9000,35,Female,South,Small Business,0,44,2023-12-27,Easy to use and reliable.,Neutral,9000,0
S000167,CUST00646,P008,Headphones,Electronics,3000,1,2023-08-13,3000,42,Male,West,Consumer,1,20,2023-07-21,Highly recommend to others.,Positive,3000,1
S000168,CUST01816,P005,Printer,Electronics,15000,4,2023-02-11,60000,59,Female,West,Consumer,0,24,2023-03-24,Product quality could be better.,Neutral,60000,0
